noncode,lncrna_id,lncrna_source,lncrna_name,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
NONHSAT147188.2,ENST00000504298,lncipedia,lnc-C21orf7-1-1_dup1,0.056703193,0.990532442,0.981064884,6,3,0.175629098,12.22412958,1.47249748,6,24
NONHSAT147423.2,ENST00000407121,lncipedia,lnc-PRDM13-1-7,0.035230169,0.911306963,0.822613926,6,3,0.788851881,19.67481867,0.914875014,6,24
NONHSAT149054.1,NONHSAT149054.1,lncipedia,lnc-INADL-2-1_dup1,0.114786766,0.87813841,0.75627682,0,3,0.019854924,6.038563546,1.987227576,0,12
NONHSAT149070.1,NONHSAT149070.1,PMID24108091,m130128_004308_00126_c100457742550000001523064703201381_s1_p0/59506/ccs.path1,0.131877813,0.985827608,0.971655216,6,3,0.117156082,5.255980265,3.424670393,6,24
NONHSAT149390.1,ENST00000434207,PMID24463510,-,0.076479718,0.901510621,0.803021241,6,3,0.183802192,9.063150306,1.986064381,6,24
NONHSAT149393.1,NONHSAT149393.1,lncipedia,lnc-RWDD3-9-1_dup1,0.175671526,0.975606598,0.951213196,0,3,0.020095295,3.945700226,3.041285276,0,12
NONHSAT149609.1,NONHSAT149609.1,lncipedia,lnc-CAPZA1-1-1_dup1,0.03257349,0.992507016,0.985014031,6,3,0.1193091,21.27948804,0.845885012,6,24
NONHSAT149781.1,NONHSAT149781.1,PMID24108091,m121219_030035_00126_c100449542550000001523046302151304_s1_p0/25840/ccs.path1,0.06289724,0.877621531,0.816432296,0,4,0.07572471,11.0203115,2.177796881,0,24
NONHSAT150479.1,NONHSAT150479.1,PMID24108091,m130128_052502_00126_c100457742550000001523064703201383_s1_p0/48178/ccs.path1,0.197226237,0.934088063,0.868176126,6,3,0.131266987,3.514477544,5.12167165,6,24
NONHSAT150548.1,NONHSAT150548.1,PMID24108091,m121219_004319_00126_c100449542550000001523046302151303_s2_p0/69386/ccs.path1,0.02739039,0.996634037,0.993268073,6,3,7.939367665,25.30621816,0.711287632,0,24
NONHSAT150549.1,NONHSAT150549.1,PMID24108091,m121219_051625_00126_c100449542550000001523046302151305_s2_p0/58525/ccs.path1,0.097961953,0.96061375,0.921227501,6,3,0.038888646,7.075677411,2.543926038,6,24
NONHSAT150699.1,NONHSAT150699.1,PMID24463510,CUFF.281896,0.04478629,0.996342497,0.992684994,6,3,0.396712123,15.47677163,1.16303325,6,24
NONHSAT150705.1,NONHSAT150705.1,lncipedia,lnc-COG2-4-3,0.05187696,0.875818123,0.751636246,6,3,0.029867584,13.36136865,1.34716738,6,24
NONHSAT150858.1,NONHSAT150858.1,PMID24108091,m121218_085412_00126_c100418802550000001523036412191225_s2_p0/42705/ccs.path1,0.033972191,0.983000041,0.966000083,6,3,0.154136282,20.4033699,0.882207208,6,24
NONHSAT151179.1,ENST00000263511,PMID26117828,PNCT_HSA129556,0.037451601,0.995203285,0.990406569,6,3,0.093050329,18.50781167,0.972562306,6,24
NONHSAT151336.1,NONHSAT151336.1,PMID24108091,m121218_042125_00126_c100418802550000001523036412191223_s2_p0/24666/ccs.path1,0.101456551,0.995472822,0.993209233,0,4,1.132906552,6.831960844,3.512900696,0,24
